product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
7076950999196,"Marble Coasters, Set of 4 - Gold Lines",gold-lines-marble-coasters-set-of-4,ESQ Living,Coasters,"__tab1:mq-esq-india, __tab2:returns-allowed-7days, Brand_ESQ Living, Category_Coasters, Price_0 to 1500",41027772154012,Default Title,HSIN0070,995.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/esq-living-marble-coasters-set-of-4-gold-lines-1.jpg?v=1716102872, https://cdn.shopify.com/s/files/1/1586/2541/files/esq-living-marble-coasters-set-of-4-gold-lines-3.jpg?v=1716102874, https://cdn.shopify.com/s/files/1/1586/2541/files/esq-living-marble-coasters-set-of-4-gold-lines-2_c00b6a03-7e90-425a-acfb-2ca0ac649b64.jpg?v=1769821224, https://cdn.shopify.com/s/files/1/1586/2541/files/esq-living-marble-coasters-set-of-4-gold-lines-4.jpg?v=1769821224",daily,summers,Gold,Adults (18-45),Generic brand story.
8777501900956,"Sisal Rectangular Placemats, Set of 2 - Falafel Brown",sisal-rectangular-placemats-set-of-2-falafel-brown,ASA Selection,Placemats,__tab2:returns-allowed-7days,45952732659868,Default Title,ASGE1260,1995.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/SisalRectangularPlacemats_Setof2-FalafelBrown-1.jpg?v=1769776288, https://cdn.shopify.com/s/files/1/1586/2541/files/SisalRectangularPlacemats_Setof2-FalafelBrown_1.jpg?v=1769776288, https://cdn.shopify.com/s/files/1/1586/2541/files/SisalRectangularPlacemats_Setof2-FalafelBrown-3_1.jpg?v=1769776288, https://cdn.shopify.com/s/files/1/1586/2541/files/SisalRectangularPlacemats_Setof2-FalafelBrown-9_a026a33d-786a-4035-b76a-87da5710d36e.jpg?v=1769776288, https://cdn.shopify.com/s/files/1/1586/2541/files/SisalRectangularPlacemats_Setof2-FalafelBrown_62a84efc-74a7-4e24-b566-f300a0eaf56a.jpg?v=1769769690",daily,summers,"Brown, Tan",Adults (18-45),Generic brand story.
7636680081564,Neo Elephant Decorative Sculpture Small,neo-elephant-decorative-sculpture-small,Enhabit,Animal Sculptures,"__tab1:enhabit-ss-china, __tab2:returns-allowed-7days, Brand_Enhabit, Category_Animal Sculptures, dont-reorder, Price_1500 to 3000",42512214196380,Default Title,ENSS0511,1995.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/enhabit-neo-elephant-decorative-sculpture-small-1.jpg?v=1690061296, https://cdn.shopify.com/s/files/1/1586/2541/files/enhabit-neo-elephant-decorative-sculpture-small-2.jpg?v=1690061299, https://cdn.shopify.com/s/files/1/1586/2541/files/enhabit-neo-elephant-decorative-sculpture-small-3.jpg?v=1690061301, https://cdn.shopify.com/s/files/1/1586/2541/files/enhabit-neo-elephant-decorative-sculpture-small-4.jpg?v=1690061304, https://cdn.shopify.com/s/files/1/1586/2541/files/enhabit-neo-elephant-decorative-sculpture-small-5.jpg?v=1690061306, https://cdn.shopify.com/s/files/1/1586/2541/files/enhabit-neo-elephant-decorative-sculpture-small-6.jpg?v=1690061308, https://cdn.shopify.com/s/files/1/1586/2541/files/enhabit-neo-elephant-decorative-sculpture-small-7.jpg?v=1690061311",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8777467035804,Lina Water Carafe 700ml - Blue,lina-water-carafe-700-ml-blue,ASA Selection,Water Jugs,__tab2:returns-allowed-7days,45952482869404,Default Title,ASGE1042,4995.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/LinaWaterCarafe700ml-Blue-10_1.jpg?v=1769687001, https://cdn.shopify.com/s/files/1/1586/2541/files/LinaWaterCarafe700ml-Blue-10_6ce4376e-93cf-42ed-9b27-a7acb8b3ceb3.jpg?v=1769773466, https://cdn.shopify.com/s/files/1/1586/2541/files/LinaWaterCarafe700ml-Blue-9_037956b9-5e08-4bf7-9b1c-f891b887bd07.jpg?v=1769773545, https://cdn.shopify.com/s/files/1/1586/2541/files/LinaWaterCarafe700ml-Blue-1.jpg?v=1769773545, https://cdn.shopify.com/s/files/1/1586/2541/files/Lina_Water_Carafe_700ml_-_Blue_358463f1-60ad-42af-a84a-affabfdf1a61_2.jpg?v=1769773545, https://cdn.shopify.com/s/files/1/1586/2541/files/Lina_Water_Carafe_700ml_-_Blue_358463f1-60ad-42af-a84a-affabfdf1a611.jpg?v=1769773545",daily,summers,Blue,Adults (18-45),Generic brand story.
8459105468572,Luna Elephant Decorative Sculpture Large - Speckled White,luna-elephant-decorative-sculpture-large-speckled-white,Enhabit,Animal Sculptures,__tab2:returns-allowed-7days,45084554100892,Default Title,ENSS1360,2295.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/LunaElephantDecorativeSculptureMedium-White_2.jpg?v=1752664119, https://cdn.shopify.com/s/files/1/1586/2541/files/LunaElephantDecorativeSculptureMedium-White_1.jpg?v=1752664119, https://cdn.shopify.com/s/files/1/1586/2541/files/LunaElephantDecorativeSculptureMedium-White_3.jpg?v=1752610590, https://cdn.shopify.com/s/files/1/1586/2541/files/LunaElephantDecorativeSculptureMedium-White_4.jpg?v=1752610590",daily,summers,White,Adults (18-45),Generic brand story.
8449547305116,Astro Globe Abstract Sculpture Small,astro-globe-abstract-sculpture-small,Enhabit,Sculptures,__tab2:returns-allowed-7days,45052083994780,Default Title,ENSS1290,5495.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/AstroGlobeAbstractSculpture-Monochrome_10_55648a97-19ec-4528-95c6-7205e9cc9a9a.jpg?v=1751613708, https://cdn.shopify.com/s/files/1/1586/2541/files/AstroGlobeAbstractSculpture-Monochrome_2_9a7a086d-47a7-4034-afb5-3506cf274af2.jpg?v=1769704241, https://cdn.shopify.com/s/files/1/1586/2541/files/AstroGlobeAbstractSculpture-Monochrome_3.png?v=1769704241, https://cdn.shopify.com/s/files/1/1586/2541/files/AstroGlobeAbstractSculpture-Monochrome_6_bc21fd4a-a703-433a-b64e-6ffb3f5c6f07.jpg?v=1751613708, https://cdn.shopify.com/s/files/1/1586/2541/files/AstroGlobeAbstractSculpture-Monochrome_8_79a65ab3-755c-4b44-b1da-8a40729b3b5a.jpg?v=1751613708, https://cdn.shopify.com/s/files/1/1586/2541/files/AstroGlobeAbstractSculpture-Monochrome_11_4d414105-e59e-4fc7-8a22-d48a984a2561.jpg?v=1752141750",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8448482541724,Geometric Sailboat Sculpture Medium - Black,geometric-sailboat-sculpture-medium-black,Enhabit,Sculptures,"__tab2:returns-allowed-7days, dont-reorder",45048529879196,Default Title,ENSS1280,2495.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/GeometricSailboatSculptureMedium-Black-2.jpg?v=1752583559, https://cdn.shopify.com/s/files/1/1586/2541/files/GeometricSailboatSculptureMedium-Black-4.jpg?v=1752583559, https://cdn.shopify.com/s/files/1/1586/2541/files/GeometricSailboatSculptureMedium-Black-3.jpg?v=1752583559, https://cdn.shopify.com/s/files/1/1586/2541/files/GeometricSailboatSculptureMedium-Black-1.jpg?v=1752583551, https://cdn.shopify.com/s/files/1/1586/2541/files/GeometricSailboatSculptureMedium-Black.jpg?v=1752583551",daily,summers,Black,Adults (18-45),Generic brand story.
8448481689756,Modernist Elephant Sculpture Small,modernist-elephant-sculpture-small,Enhabit,Animal Sculptures,__tab2:returns-allowed-7days,45048526602396,Default Title,ENSS1261,2495.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/Modernist_Elephant_Sculpture_Small_196c0f69-5b09-42d8-b401-0ee9ac0158f6.jpg?v=1753690753, https://cdn.shopify.com/s/files/1/1586/2541/files/Modernist_Elephant_Sculpture_Small-1_fb7d2201-d1a5-4e98-89ae-84986c7f8394.jpg?v=1753701218, https://cdn.shopify.com/s/files/1/1586/2541/files/Modernist_Elephant_Sculpture_Small_9defb82c-c850-4ee6-993a-83d8e8d1742c.jpg?v=1753701218, https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureSmall_2.jpg?v=1753701218, https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureSmall_3.jpg?v=1753701218, https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureSmall_5.jpg?v=1753701218, https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureSmall_1.jpg?v=1753701218",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8448477659292,Modernist Elephant Sculpture Medium,modernist-elephant-sculpture-medium,Enhabit,Animal Sculptures,__tab2:returns-allowed-7days,45048508547228,Default Title,ENSS1260,3795.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureSmall-1.jpg?v=1753688862, https://cdn.shopify.com/s/files/1/1586/2541/files/Modernist_Elephant_Sculpture_Medium-1.jpg?v=1753701200, https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureSmall.jpg?v=1753701200, https://cdn.shopify.com/s/files/1/1586/2541/files/Modernist_Elephant_Sculpture_Medium_822b1b9a-1157-4d55-8af3-f98fd2ea123e.jpg?v=1753701200, https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureMedium_1.jpg?v=1753701200, https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureMedium_5.jpg?v=1753701200, https://cdn.shopify.com/s/files/1/1586/2541/files/ModernistElephantSculptureMedium_6.jpg?v=1753701200",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8448475562140,Royal Swan Sculpture - Clear Gold,royal-swan-sculpture-clear-gold,Enhabit,Animal Sculptures,__tab2:returns-allowed-7days,45048500715676,Default Title,ENSS1250,5995.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/1586/2541/files/Royal_Swan_Sculpture_-_Clear_Gold-1.jpg?v=1753182426, https://cdn.shopify.com/s/files/1/1586/2541/files/Royal_Swan_Sculpture_-_Clear_Gold.jpg?v=1753182426, https://cdn.shopify.com/s/files/1/1586/2541/files/RoyalSwanSculpture-ClearGold_3.jpg?v=1753182426, https://cdn.shopify.com/s/files/1/1586/2541/files/RoyalSwanSculpture-ClearGold_4.jpg?v=1753084607, https://cdn.shopify.com/s/files/1/1586/2541/files/RoyalSwanSculpture-ClearGold_6.jpg?v=1753084607, https://cdn.shopify.com/s/files/1/1586/2541/files/RoyalSwanSculpture-ClearGold_2.jpg?v=1753084607, https://cdn.shopify.com/s/files/1/1586/2541/files/RoyalSwanSculpture-ClearGold_5.jpg?v=1753084607, https://cdn.shopify.com/s/files/1/1586/2541/files/RoyalSwanSculpture-ClearGold_10.jpg?v=1753084607",daily,summers,Gold,Adults (18-45),Generic brand story.
